_id,CRE,type candidature,genre,annee_naissance,Effectif_Admis
1,Tunis 1,Public,Masculin,2008 et avant,1
2,Tunis 1,Public,Masculin,2009,279
3,Tunis 1,Public,Masculin,2010 et après,22
4,Tunis 1,Public,Feminin,2008 et avant,3
5,Tunis 1,Public,Feminin,2009,449
6,Tunis 1,Public,Feminin,2010 et après,40
7,Tunis 1,Privé,Masculin,2009,137
8,Tunis 1,Privé,Masculin,2010 et après,14
9,Tunis 1,Privé,Feminin,2008 et avant,1
10,Tunis 1,Privé,Feminin,2009,164
11,Tunis 1,Privé,Feminin,2010 et après,17
12,Tunis 1,Libre,Feminin,2009,1
13,Tunis 2,Public,Masculin,2009,225
14,Tunis 2,Public,Masculin,2010 et après,30
15,Tunis 2,Public,Feminin,2008 et avant,1
16,Tunis 2,Public,Feminin,2009,354
17,Tunis 2,Public,Feminin,2010 et après,37
18,Tunis 2,Privé,Masculin,2008 et avant,1
19,Tunis 2,Privé,Masculin,2009,82
20,Tunis 2,Privé,Masculin,2010 et après,5
21,Tunis 2,Privé,Feminin,2008 et avant,1
22,Tunis 2,Privé,Feminin,2009,113
23,Tunis 2,Privé,Feminin,2010 et après,16
24,Ariana,Public,Masculin,2008 et avant,4
25,Ariana,Public,Masculin,2009,254
26,Ariana,Public,Masculin,2010 et après,23
27,Ariana,Public,Feminin,2009,395
28,Ariana,Public,Feminin,2010 et après,33
29,Ariana,Privé,Masculin,2009,94
30,Ariana,Privé,Masculin,2010 et après,10
31,Ariana,Privé,Feminin,2008 et avant,1
32,Ariana,Privé,Feminin,2009,121
33,Ariana,Privé,Feminin,2010 et après,18
34,Mannouba,Public,Masculin,2008 et avant,1
35,Mannouba,Public,Masculin,2009,171
36,Mannouba,Public,Masculin,2010 et après,6
37,Mannouba,Public,Feminin,2008 et avant,1
38,Mannouba,Public,Feminin,2009,331
39,Mannouba,Public,Feminin,2010 et après,31
40,Mannouba,Privé,Masculin,2009,45
41,Mannouba,Privé,Masculin,2010 et après,6
42,Mannouba,Privé,Feminin,2009,67
43,Mannouba,Privé,Feminin,2010 et après,9
44,Ben Arous,Public,Masculin,2008 et avant,1
45,Ben Arous,Public,Masculin,2009,369
46,Ben Arous,Public,Masculin,2010 et après,39
47,Ben Arous,Public,Feminin,2008 et avant,1
48,Ben Arous,Public,Feminin,2009,561
49,Ben Arous,Public,Feminin,2010 et après,74
50,Ben Arous,Privé,Masculin,2009,100
51,Ben Arous,Privé,Masculin,2010 et après,21
52,Ben Arous,Privé,Feminin,2009,118
53,Ben Arous,Privé,Feminin,2010 et après,19
54,Ben Arous,Libre,Feminin,2009,1
55,Zaghouan,Public,Masculin,2009,47
56,Zaghouan,Public,Masculin,2010 et après,2
57,Zaghouan,Public,Feminin,2009,123
58,Zaghouan,Public,Feminin,2010 et après,10
59,Zaghouan,Privé,Masculin,2009,8
60,Zaghouan,Privé,Masculin,2010 et après,1
61,Zaghouan,Privé,Feminin,2009,20
62,Zaghouan,Privé,Feminin,2010 et après,3
63,Bizerte,Public,Masculin,2008 et avant,1
64,Bizerte,Public,Masculin,2009,172
65,Bizerte,Public,Masculin,2010 et après,15
66,Bizerte,Public,Feminin,2009,379
67,Bizerte,Public,Feminin,2010 et après,28
68,Bizerte,Privé,Masculin,2008 et avant,1
69,Bizerte,Privé,Masculin,2009,67
70,Bizerte,Privé,Masculin,2010 et après,12
71,Bizerte,Privé,Feminin,2008 et avant,1
72,Bizerte,Privé,Feminin,2009,92
73,Bizerte,Privé,Feminin,2010 et après,19
74,Béja,Public,Masculin,2009,126
75,Béja,Public,Masculin,2010 et après,15
76,Béja,Public,Feminin,2009,218
77,Béja,Public,Feminin,2010 et après,32
78,Béja,Privé,Feminin,2009,2
79,Jendouba,Public,Masculin,2009,127
80,Jendouba,Public,Masculin,2010 et après,13
81,Jendouba,Public,Feminin,2008 et avant,1
82,Jendouba,Public,Feminin,2009,277
83,Jendouba,Public,Feminin,2010 et après,32
84,Siliana,Public,Masculin,2009,114
85,Siliana,Public,Masculin,2010 et après,8
86,Siliana,Public,Feminin,2008 et avant,1
87,Siliana,Public,Feminin,2009,169
88,Siliana,Public,Feminin,2010 et après,17
89,Le Kef,Public,Masculin,2009,92
90,Le Kef,Public,Masculin,2010 et après,3
91,Le Kef,Public,Feminin,2009,189
92,Le Kef,Public,Feminin,2010 et après,16
93,Kasserine,Public,Masculin,2009,109
94,Kasserine,Public,Masculin,2010 et après,11
95,Kasserine,Public,Feminin,2009,204
96,Kasserine,Public,Feminin,2010 et après,32
97,Kasserine,Privé,Masculin,2009,31
98,Kasserine,Privé,Masculin,2010 et après,6
99,Kasserine,Privé,Feminin,2009,53
100,Kasserine,Privé,Feminin,2010 et après,6
101,Kasserine,Libre,Feminin,2010 et après,1
102,Sidi Bouzid,Public,Masculin,2009,146
103,Sidi Bouzid,Public,Masculin,2010 et après,8
104,Sidi Bouzid,Public,Feminin,2009,225
105,Sidi Bouzid,Public,Feminin,2010 et après,24
106,Sidi Bouzid,Privé,Masculin,2009,36
107,Sidi Bouzid,Privé,Masculin,2010 et après,8
108,Sidi Bouzid,Privé,Feminin,2009,71
109,Sidi Bouzid,Privé,Feminin,2010 et après,6
