_id,الولاية,عدد العائلات,عدد الأطفال,إيناث,ذكور
1,أريانة,1899,2502,1238,1264
2,القصرين,13025,19124,9242,9882
3,القيروان,11127,16378,7970,8408
4,الكاف,3339,4361,2098,2263
5,المنستير,2322,3290,1586,1704
6,المهدية,5206,7866,3776,4090
7,باجة,3239,4330,2118,2212
8,بن عروس,1754,2316,1128,1188
9,بنزرت,3637,4775,2323,2452
10,تطاوين,2256,3467,1631,1836
11,توزر,2439,3473,1682,1791
12,تونس,3001,3919,1918,2001
13,جندوبة,7180,9447,4551,4896
14,زغوان,1467,2023,997,1026
15,سليانة,4421,6132,2963,3169
16,سوسة,2715,3810,1860,1950
17,سيدي بوزيد,9681,13993,6822,7171
18,صفاقس,7810,10723,5181,5542
19,قابس,6002,8695,4224,4471
20,قبلي,2729,4043,2015,2028
21,قفصة,6297,9049,4416,4633
22,مدنين,3892,5288,2576,2712
23,منوبة,1569,2052,1024,1028
24,نابل,3908,5187,2471,2716
25,المجموع,110915,156243,75810,80433
