Societe;Agence;Nom de la station;Proprietaire de la station;lon;lat;joindre des photos;Type de la station;Type de mobilier;Existence de bancs;Existence eclairage;Existence poubelle;Existence acces PMR;Type TNRP;Commune;Delegation;Gouvernorat;Code-Station
TRANSTU;District tunis 1;Essabela (L 44B)  a-;Dépôt el Bokri ;10.1045665;36.912659;http://mdc.giscloud.com/rest/1/layers/3536205/features/1885/joindre_des_photos/mdc_photo_mdc_a4280e_1613978120541_1613978151419.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1885/joindre_des_photos/mdc_photo_mdc_e75a09_1613978141272_1613978151419.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Cité el bostène -r- ;Dépôt el Bokri ;10.021649;36.835244;http://mdc.giscloud.com/rest/1/layers/3536205/features/1983/joindre_des_photos/mdc_photo_mdc_573a12_1614002410433_1614002427041.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1983/joindre_des_photos/mdc_photo_mdc_ba1d6a_1614002422979_1614002427041.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Oued ellil ;Oued ellil ;Manouba ;
TRANSTU;District tunis 1;Pouliniare   -a-;Dépôt el Bokri ;9.942103;36.805305;http://mdc.giscloud.com/rest/1/layers/3536205/features/2023/joindre_des_photos/mdc_photo_mdc_ba794a_1614082767402_1614082786826.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/2023/joindre_des_photos/mdc_photo_mdc_a97bfb_1614082781859_1614082786826.jpg?reqlogin;Arrêt bus;Poteau;no;no;no;no;;Jedeida ;Jedeida ;Manouba ;
TRANSTU;District tunis 1;Steg tebourba  r- ;Dépôt el Bokri ;9.8418673;36.8308137;http://mdc.giscloud.com/rest/1/layers/3536205/features/2149/joindre_des_photos/mdc_photo_mdc_496e3f_1614240252206_1614240287917.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Tebourba ;Tebourba ;Manouba ;
TRANSTU;District tunis 1;Mosquée sabbelet ben ammar   a- ;Dépôt el Bokri ;10.0975788;36.9154774;http://mdc.giscloud.com/rest/1/layers/3536205/features/1886/joindre_des_photos/mdc_photo_mdc_99b832_1613978447828_1613978461912.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1886/joindre_des_photos/mdc_photo_mdc_dbe3bd_1613978458210_1613978461913.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Mosquée sabbelet ben ammar   r- ;Dépôt el Bokri ;10.0967736;36.9157511;http://mdc.giscloud.com/rest/1/layers/3536205/features/1887/joindre_des_photos/mdc_photo_mdc_d6d5eb_1613978583994_1613978609367.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1887/joindre_des_photos/mdc_photo_mdc_088afb_1613978593846_1613978609367.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1887/joindre_des_photos/mdc_photo_mdc_ed0657_1613978605880_1613978609367.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Chanchah 2  r- ;Dépôt el Bokri ;10.0067245;36.8659941;http://mdc.giscloud.com/rest/1/layers/3536205/features/1927/joindre_des_photos/mdc_photo_mdc_e994a7_1613985838229_1613985859010.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1927/joindre_des_photos/mdc_photo_mdc_4bf18a_1613985848696_1613985859010.jpg?reqlogin;Arrêt bus;Poteau;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;El frechich  a-;Dépôt el Bokri ;10.0907518;36.9182617;http://mdc.giscloud.com/rest/1/layers/3536205/features/1888/joindre_des_photos/mdc_photo_mdc_0df3b5_1613978780975_1613978821894.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1888/joindre_des_photos/mdc_photo_mdc_2b3d5f_1613978812192_1613978821894.jpg?reqlogin;Arrêt bus;Abri;yes;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;El frechich r- ;Dépôt el Bokri ;10.0907037;36.9180952;http://mdc.giscloud.com/rest/1/layers/3536205/features/1889/joindre_des_photos/mdc_photo_mdc_280fea_1613978843719_1613978905462.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1889/joindre_des_photos/mdc_photo_mdc_7919b0_1613978851510_1613978905462.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1889/joindre_des_photos/mdc_photo_mdc_fa1608_1613978861171_1613978905462.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;École primaire kalaat el andaloss r- ;Dépôt el Bokri ;10.120344;37.058408;http://mdc.giscloud.com/rest/1/layers/3536205/features/2086/joindre_des_photos/mdc_photo_mdc_5353d7_1614156314709_1614156337103.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/2086/joindre_des_photos/mdc_photo_mdc_f41275_1614156323721_1614156337104.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/2086/joindre_des_photos/mdc_photo_mdc_3ad969_IMG_20210224_094336_1614156337104.jpg?reqlogin;Arrêt bus;Poteau;no;no;no;no;;Kalaat al andaloss ;Kalaat al andaloss ;Ariana ;
