ع/ر  المندوبية;المندوبية الجهوية للتربية;المعتمدية;إسم المؤسّسة;نوع المؤسسة;العنوان
1;تونس 1;باب سويقة;م.إبت.خ للأخوات الزاوية البكرية;ابتدائي;05 نهج الزاوية البكرية 
1;تونس 1;باب سويقة;م.إبت.خ القلالين;ابتدائي;12 ساحة القلالين باب سويقة
1;تونس 1;الكرم;م.إبت.خ التكامل;ابتدائي;4 نـهج ابن النفيس الـكرم
1;تونس 1;المرسى;م.إبت.خ مدرستي;ابتدائي;13 شارع قرطاج المرسى
1;تونس 1;الخضراء;م.إبت.خ ماري كوري;ابتدائي;52 نهج النيجر مونبلزير تونس
1;تونس 1;تونس سيدي البشير;م.إبت.خ افاق;ابتدائي;37 نهج الشهيد البشير خصيبة منفلوري تونس
1;تونس 1;تونس باب بحر;م.إبت.خ 5 نهج الجزائر;ابتدائي;المدرسة الخاصة 5 نهج الجزائر تونس 
1;تونس 1;تونس المدينة;م.إبت.خ النجمة;ابتدائي;31 نهج القصبة 
1;تونس 1;تونس باب بحر;م.إبت.خ جان دارك 6 نهج انقولا;ابتدائي;6نهج انقولا
1;تونس 1;تونس باب بحر;م.إبت.خ بوعبدلي 8 نهج انقولا;ابتدائي;8 نهج ٱنقولا
1;تونس 1;الوردية;"المدرسة الابتدائية الخاصة ""ابن سينا""";ابتدائي;6نهج الكرنيش بالفي الوردية
1;تونس 1;الوردية;م.إبت.خ العباقرة;ابتدائي;17 نهج 13 أوت مونفلوري
1;تونس 1;الكرم;م.إبت.خ طرابلس الحرة;ابتدائي;4 نهج سقراط خير الدين البحيرة 3 المنطقة الصناعية بالكرم
1;تونس 1;الكرم;م.إبت.خ الطاهر الحداد حلق الوادي;ابتدائي;5 شارع محمد الخامس الكرم
1;تونس 1;المرسى;جون جوراس;ابتدائي;الأسقفية بسيدي الظريف
1;تونس 1;حلق الوادي;م.إبت.خ الدولية;ابتدائي;41 نهج ابن النفيس 
1;تونس 1;المرسى;م.إبت.خ اللغماني;ابتدائي;الأبرشية سيدي الظريف 
1;تونس 1;الكرم;م.إبت.خ مرموز حلق الوادي;ابتدائي;19 نهج سيناء الكرم الشرقي
1;تونس 1;الكرم;م.إبت.خ سقراط;ابتدائي;19 نهج سقراط المنطقة الصناعية خير الدين
1;تونس 1;حلق الوادي;م.إبت.خ النجوم الذهبية;ابتدائي;18  نهج المعامل المنطقة الصناعية خير الدين البحيرة 3
1;تونس 1;حلق الوادي;م.إبت.خ جيل النخبة;ابتدائي;54 نهج محمد الشيخ النيفر - حي الواحات- العوينة
1;تونس 1;الخضراء;بريتش اكاديمي;ابتدائي;شارع البيئة - البحيرة 1 - تونس
1;تونس 1;قرطاج;المدرسة الدولية بقرطاج;ابتدائي;نهج صدربعل حدائق قرطاج
1;تونس 1;قرطاج;م.ابت.خ لاجوكوند حدائق قرطاج;ابتدائي;إقامة المنزه 47 - 201 حدائق قرطاج 
1;تونس 1;حلق الوادي;les 12 compétences;ابتدائي;شارع الحنايا العوينة تونس
1;تونس 1;المرسى;"م.إبت.خ ""الدولية الفرنكو-بريطانية""";ابتدائي;66 نهج الذهب سيدي داود المرسئ 
1;تونس 1;المرسى;المدرسة الابتدائية الخاصةالأنقليزية الدولية;ابتدائي;3 مكرر طريق23 رولي قمرت المرسى
1;تونس 1;الخضراء;م.إبت.خ كنوبس الدولية;ابتدائي;نهج المعامل المنطقة الصناعية الشرقية 1
1;تونس 1;الكرم;م.إبت.خ أكسفورد;ابتدائي;36 36 نهج سقراط المنطقة الصناعية الكرم
1;تونس 1;حلق الوادي;م.إبت.خ السرفان;ابتدائي;عمارة السرفان ,13 نهج أفلاطون ,المنطقة الادارية , الكرم ,تونس
1;تونس 1;الخضراء;م.إبت.خ محجوب 2;ابتدائي;12 نهج الحامدية تونس
1;تونس 1;المرسى;م.إبت.خ جان جاك روسو;ابتدائي;1نهج واد سليانة المرسى
1;تونس 1;المرسى;م.إبت.خ الارتقاء;ابتدائي;02 نهج الرقي طريق قمرت المرسى
1;تونس 1;الكبارية;م.إبت.خ نجباء الغاب;ابتدائي;17 نهج أحمد مسكويه ابن سينا
1;تونس 1;الخضراء;م.إبت.خ جاك بريفار المرسى;ابتدائي;23 نهج بحيرة فكتوريا ضفاف البحيرة 1
1;تونس 1;المرسى;م.إبت.خ أميلكار;ابتدائي;05 شارع الاستقلال المرسى
1;تونس 1;الخضراء;م.إبت.خ محجوب 1;ابتدائي;32 نهج نيجر 
1;تونس 1;الكرم;م.إبت.خ الان سافاري;ابتدائي;اقامة الفاطمي عين زغوان
1;تونس 1;المرسى;م.إبت.خ طيبة للتعليم;ابتدائي;المنطقة الصناعيّة،سيدي داود،المرسى
1;تونس 1;الكرم;م.إبت.خ لقمان الحكيم;ابتدائي;المنطقة الصناعية خير الدين قبالة معرض الكرم الدولي
1;تونس 1;المرسى;م.إبت.خ ليوناردو دفنشي سكول المرسى;ابتدائي;1 مكرر نهج المعري المرسى
1;تونس 1;الخضراء;م.إبت.خ الكندية حي الخضراء;ابتدائي;1 نهج المعادن الشرقية 1 
1;تونس 1;حلق الوادي;م روني ديكارت ضفاف البحيرة 2;ابتدائي;شارع الفروة - تقسيم ليه بينس 
1;تونس 1;حلق الوادي;م.إبت.خ لاجوكوند ضفاف البحيرة;ابتدائي;حي الصنوبر البحيرة 2
1;تونس 1;الخضراء;م.إبت.خ البيان سكول المنزه;ابتدائي;01 نهج محمد البوعزيزي المنزه 4
1;تونس 1;حلق الوادي;م.إبت.خ الاكاديمية العوينة;ابتدائي; شارع خالد بن الوليد عين زغوان الشمالية
1;تونس 1;الخضراء;م.إبت.خ العش;ابتدائي;38 نهج سقراط المنطقة الإداريّة خير الدّين البحيرة 3
1;تونس 1;الكرم;م.إبت.خ جوهرة قرطاج;ابتدائي;تقاسيم عين زغوان الشمالية عدد 161  نهج ليبيا
1;تونس 1;المرسى;م.إبت.خ الفردوس;ابتدائي;16نهج ألمانيا طريق قمرت كلم 5 المرسى
1;تونس 1;الكرم;"م.إبت.خ ""Jules verne""";ابتدائي;32 نهج البساتين حدائق العوينة
1;تونس 1;المرسى;م.إبت.خ بوعبدلي;ابتدائي;جنان الدنيا سيدي داود المرسى
2;تونس 2;العمران;المواهب2;ابتدائي;5 نهج النجوم حي الرمانة العمران 
2;تونس 2;باردو;م.إبت.خ ابن سينا باردو;ابتدائي;10 نهج عبد الحميد التليلي
2;تونس 2;باردو;Marco polo م.إبت.خ;ابتدائي;134 نهح الحبيب بوقطفة باردو 2
2;تونس 2;الزهور;م.إبت.خ إميل زولا بشوشة;ابتدائي;157 شارع مصطفى خزندار الزهور
2;تونس 2;الحرايرية;م.إبت.خ نور المعرفة (السراج المنير);ابتدائي;حي بن يونس العقبة الحرايرية
2;تونس 2;سيدي حسين;م.إبت.خ طيور الجنة;ابتدائي;
2;تونس 2;باردو;م.إبت.خ kids magic world;ابتدائي;
2;تونس 2;باردو;م.إبت.خ la martine;ابتدائي;نهج أبن أبي طالب باردو
2;تونس 2;الحرايرية;م.إبت.خ كريستو;ابتدائي;92 مقسم البوسيجور العقبة.معتمدية الحرارية تونس
2;تونس 2;سيدي حسين;المدرسة الابتدائية الخاصة DR GENUIS ;ابتدائي;2شارع 18 جانفي 1952 سيدي حسين
2;تونس 2;الحرايرية;المدرسة الابتدائية الخاصة بحر العلوم الزهروني;ابتدائي;نهجي 42500 و 636 الزهروني
2;تونس 2;سيدي حسين;المدرسة الابتدائية الخاصة البيروني SCHOOL سيدي حسين;ابتدائي;تقاسيم ايناس سيدي حسين
2;تونس 2;الحرايرية;المدرسة الابتدائية الخاصة يحي SCHOOL الحرايرية;ابتدائي;عدد 01 و02نهج سوق السراجين حي الراشدية الحرايرية
2;تونس 2;سيدي حسين;م.ا.خ. My class school;ابتدائي;38 شارع الحبيب بورقيبة سيدي حسين
2;تونس 2;سيدي حسين;انوس الجديدة;ابتدائي;01 نهج المجر سيدي حسين السيجومي
2;تونس 2;سيدي حسين;دروب المعرفة;ابتدائي;
2;تونس 2;المنزه;م.إبت.خ شفرول;ابتدائي;9 نهج غرة جوان ميتيال فيل
2;تونس 2;باردو;م.إبت.خ المنارة;ابتدائي;9 شارع 2 مارس 1934 باردو 
