ع/ر المندوبية;المندوبية الجهوية للتربية;المعتمدية;إسم المؤسّسة;نوع المؤسسة;خط العرض;خط الطول
1;تونس 1;تونس المدينة;م.إ.  نهج المر;ابتدائي;36.8231896;10.2053473
1;تونس 1;تونس المدينة;م.إ.  عبد العزيز الأصرم;ابتدائي;36.79685;10.17402
1;تونس 1;تونس المدينة;م.إ.  نهج الحكيم كسار;ابتدائي;36.80274;10.16990
1;تونس 1;تونس المدينة;م.إ.  الصادقية نهج سنان باشا;ابتدائي;36.79883;10.16600
1;تونس 1;تونس المدينة;م.إ.  ساحة معقل الزعيم;ابتدائي;36.79269;10.16491
1;تونس 1;تونس باب بحر;م.إ.  نهج شارل ديقول;ابتدائي;36.79470;10.17813
1;تونس 1;تونس باب بحر;م.إ.  نهج روسيا عدد17;ابتدائي;36.79455;10.17734
1;تونس 1;تونس باب بحر;م.إ.  نهج الإدريسي;ابتدائي;36.8032107;10.2301377
1;تونس 1;تونس باب بحر;م.إ.  12 نهج علي الجليلي;ابتدائي;36.80799;10.17900
1;تونس 1;تونس باب بحر;م.إ.  18 نهج الهند;ابتدائي;36.81146;10.18236
1;تونس 1;تونس باب بحر;م.إ.  29 نهج مرسيليا;ابتدائي;36.80346;10.18168
1;تونس 1;تونس باب بحر;م.إ.  80 نهج عبد الرزاق الشرايبي;ابتدائي;36.79534;10.18627
1;تونس 1;تونس باب بحر;م.إ.  16 نهج روسيا;ابتدائي;36.79525;10.17729
1;تونس 1;الخضراء;م.إ.  الحي الاولمبي المنجي سليم;ابتدائي;36.83806;10.19615
1;تونس 1;الخضراء;م.إ. 34/3/2 حي الخضراء 6;ابتدائي;36.82868;10.19649
1;تونس 1;الخضراء;م.إ.  محمود بن شبعان 14-1;ابتدائي;36.83345;10.19487
1;تونس 1;الخضراء;م.إ.  نهج كلود برنار;ابتدائي;36.82316;10.18182
1;تونس 1;الخضراء;م.إ.  ضفاف البحيرة;ابتدائي;36.83639;10.24652
1;تونس 1;الخضراء;م.إ. البحيرة 2;ابتدائي;36.83251;10.23216
1;تونس 1;باب سويقة;م.إ.  55 نهج باب سويقة;ابتدائي;36.80548;10.17032
1;تونس 1;باب سويقة;م.إ. ساحة سيدي العلوي;ابتدائي;36.80779;10.16498
1;تونس 1;باب سويقة;م.إ.  نهج الأقواس;ابتدائي;36.80614;10.16318
1;تونس 1;باب سويقة;م.إ. حسان بلخوجة;ابتدائي;36.81141;10.17305
1;تونس 1;الكبارية;م.إ.  الكبارية 1;ابتدائي;36.74705;10.18988
1;تونس 1;الكبارية;م.إ.  الكبارية 3;ابتدائي;36.76262;10.19185
