CRE;SECTION;CANDIDATURE;GENRE;EFFECTIF
Tunis 1;lettres;Public;M;132
Tunis 1;lettres;Public;F;584
Tunis 1;lettres;Privé;M;38
Tunis 1;lettres;Privé;F;83
Tunis 1;lettres;Libre;M;3
Tunis 1;lettres;Libre;F;31
Tunis 1;mathématiques;Public;M;275
Tunis 1;mathématiques;Public;F;267
Tunis 1;mathématiques;Privé;M;24
Tunis 1;mathématiques;Privé;F;7
Tunis 1;mathématiques;Libre;M;1
Tunis 1;mathématiques;Libre;F;8
Tunis 1;sciences expérimentales;Public;M;266
Tunis 1;sciences expérimentales;Public;F;892
Tunis 1;sciences expérimentales;Privé;M;47
Tunis 1;sciences expérimentales;Privé;F;93
Tunis 1;sciences expérimentales;Libre;M;9
Tunis 1;sciences expérimentales;Libre;F;36
Tunis 1;économie&gestion;Public;M;784
Tunis 1;économie&gestion;Public;F;1183
Tunis 1;économie&gestion;Privé;M;372
Tunis 1;économie&gestion;Privé;F;294
Tunis 1;économie&gestion;Libre;M;26
Tunis 1;économie&gestion;Libre;F;27
Tunis 1;sciences techniques;Public;M;231
Tunis 1;sciences techniques;Public;F;175
Tunis 1;sciences techniques;Privé;M;27
Tunis 1;sciences techniques;Privé;F;11
Tunis 1;sciences techniques;Libre;M;5
Tunis 1;sciences techniques;Libre;F;7
Tunis 1;sciences de l'informatique;Public;M;461
Tunis 1;sciences de l'informatique;Public;F;199
Tunis 1;sciences de l'informatique;Privé;M;92
Tunis 1;sciences de l'informatique;Privé;F;29
Tunis 1;sciences de l'informatique;Libre;M;7
Tunis 1;sciences de l'informatique;Libre;F;6
Tunis 1;sport;Public;M;77
Tunis 1;sport;Public;F;54
Tunis 2;lettres;Public;M;96
Tunis 2;lettres;Public;F;391
Tunis 2;lettres;Privé;M;28
Tunis 2;lettres;Privé;F;57
Tunis 2;lettres;Libre;M;11
Tunis 2;lettres;Libre;F;28
Tunis 2;mathématiques;Public;M;208
Tunis 2;mathématiques;Public;F;200
Tunis 2;mathématiques;Privé;M;6
Tunis 2;mathématiques;Privé;F;8
Tunis 2;mathématiques;Libre;M;2
Tunis 2;mathématiques;Libre;F;3
Tunis 2;sciences expérimentales;Public;M;203
Tunis 2;sciences expérimentales;Public;F;780
Tunis 2;sciences expérimentales;Privé;M;85
Tunis 2;sciences expérimentales;Privé;F;128
Tunis 2;sciences expérimentales;Libre;M;9
Tunis 2;sciences expérimentales;Libre;F;33
Tunis 2;économie&gestion;Public;M;671
Tunis 2;économie&gestion;Public;F;1157
Tunis 2;économie&gestion;Privé;M;306
Tunis 2;économie&gestion;Privé;F;230
Tunis 2;économie&gestion;Libre;M;26
Tunis 2;économie&gestion;Libre;F;39
Tunis 2;sciences techniques;Public;M;406
Tunis 2;sciences techniques;Public;F;245
Tunis 2;sciences techniques;Privé;M;66
Tunis 2;sciences techniques;Privé;F;22
Tunis 2;sciences techniques;Libre;M;10
Tunis 2;sciences techniques;Libre;F;14
Tunis 2;sciences de l'informatique;Public;M;392
Tunis 2;sciences de l'informatique;Public;F;284
Tunis 2;sciences de l'informatique;Privé;M;117
Tunis 2;sciences de l'informatique;Privé;F;25
Tunis 2;sciences de l'informatique;Libre;M;7
Tunis 2;sciences de l'informatique;Libre;F;8
Tunis 2;sport;Public;M;21
Tunis 2;sport;Public;F;16
Ariana;lettres;Public;M;119
Ariana;lettres;Public;F;570
Ariana;lettres;Privé;M;7
Ariana;lettres;Privé;F;28
Ariana;lettres;Libre;M;7
Ariana;lettres;Libre;F;24
Ariana;mathématiques;Public;M;274
Ariana;mathématiques;Public;F;255
Ariana;mathématiques;Privé;F;1
Ariana;mathématiques;Libre;M;3
Ariana;mathématiques;Libre;F;5
Ariana;sciences expérimentales;Public;M;226
Ariana;sciences expérimentales;Public;F;932
Ariana;sciences expérimentales;Privé;M;15
Ariana;sciences expérimentales;Privé;F;40
Ariana;sciences expérimentales;Libre;M;9
Ariana;sciences expérimentales;Libre;F;31
Ariana;économie&gestion;Public;M;671
Ariana;économie&gestion;Public;F;1208
Ariana;économie&gestion;Privé;M;260
Ariana;économie&gestion;Privé;F;169
Ariana;économie&gestion;Libre;M;19
Ariana;économie&gestion;Libre;F;39
Ariana;sciences techniques;Public;M;328
Ariana;sciences techniques;Public;F;173
Ariana;sciences techniques;Privé;M;6
Ariana;sciences techniques;Privé;F;2
Ariana;sciences techniques;Libre;M;9
Ariana;sciences techniques;Libre;F;8
Ariana;sciences de l'informatique;Public;M;537
Ariana;sciences de l'informatique;Public;F;326
Ariana;sciences de l'informatique;Privé;M;65
Ariana;sciences de l'informatique;Privé;F;22
Ariana;sciences de l'informatique;Libre;M;10
Ariana;sciences de l'informatique;Libre;F;8
Ariana;sport;Public;M;18
Ariana;sport;Public;F;15
Ariana;sport;Libre;M;
Mannouba;lettres;Public;M;119
Mannouba;lettres;Public;F;497
Mannouba;lettres;Privé;M;23
Mannouba;lettres;Privé;F;29
Mannouba;lettres;Libre;M;6
Mannouba;lettres;Libre;F;17
Mannouba;mathématiques;Public;M;127
Mannouba;mathématiques;Public;F;160
Mannouba;mathématiques;Libre;M;1
Mannouba;mathématiques;Libre;F;4
Mannouba;sciences expérimentales;Public;M;148
Mannouba;sciences expérimentales;Public;F;707
