_id,Zone Geographique,Pays,Destination
1,MOYEN ORIENT,A.SEOUDITE,Jeddah
2,MOYEN ORIENT,A.SEOUDITE,Médine
3,MOYEN ORIENT,EGYPTE,Le Caire
4,MOYEN ORIENT,LIBAN,Beyrouth
5,MOYEN ORIENT,TURQUIE,Istanbul
6,AFRIQUE,ALGERIE,Alger
7,AFRIQUE,ALGERIE,Constantine
8,AFRIQUE,ALGERIE,Oran
9,EUROPE,ALLEMAGNE,Berlin
10,EUROPE,ALLEMAGNE,Duesseldorf
11,EUROPE,ALLEMAGNE,Frankfurt
12,EUROPE,ALLEMAGNE,Hamburg
13,EUROPE,ALLEMAGNE,Munich
14,EUROPE,AUTRICHE,Vienna
15,EUROPE,BELGIQUE,Bruxelles
16,AFRIQUE,Bénin,Cotonou
17,AFRIQUE,BURKINA FASO,Ouagadougou
18,AFRIQUE,C.IVOIRE,Abidjan
19,AMERIQUE DU NORD,Canada,Montreal
20,EUROPE,ESPAGNE,Barcelone
21,EUROPE,ESPAGNE,Madrid
22,EUROPE,FRANCE,Bordeaux
23,EUROPE,FRANCE,Lyon
24,EUROPE,FRANCE,Marseille
25,EUROPE,FRANCE,Nantes
26,EUROPE,FRANCE,Nice
27,EUROPE,FRANCE,Paris
28,EUROPE,FRANCE,Strasbourg
29,EUROPE,FRANCE,Toulouse
30,AFRIQUE,GUINEE,Conakry
31,EUROPE,HOLLANDE,Amsterdam
32,EUROPE,ITALIE,Bologne
33,EUROPE,ITALIE,Milan
34,EUROPE,ITALIE,Rome
35,EUROPE,ITALIE,Venise
36,AFRIQUE,MALI,Bamako
37,AFRIQUE,MAROC,Casablanca
38,AFRIQUE,MAURITANIE,Nouakchott
39,AFRIQUE,NIGER,Niamey
40,EUROPE,PORTUGAL,Lisbonne
41,EUROPE,R.TCHEQUE,Prague
42,EUROPE,R.UNI,Londres
43,AFRIQUE,SENEGAL,Dakar
44,EUROPE,SERBIE,Belgrade
45,EUROPE,SUISSE,Genève
46,EUROPE,SUISSE,Zurich
